OriginalPoint	firstUp	label	SecondUp	FirstDown	label	SecondDown
http://identifiers.org/ensembl/ENSG00000125084	http://identifiers.org/ensembl/ENSG00000136944	LMX1B	http://identifiers.org/ensembl/ENSG00000163064	EN1	http://identifiers.org/ensembl/ENSG00000198900	TOP1
http://identifiers.org/ensembl/ENSG00000125084	http://identifiers.org/ensembl/ENSG00000136944	LMX1B	http://identifiers.org/ensembl/ENSG00000163064	EN1	http://identifiers.org/ensembl/ENSG00000198900	TOP1
http://identifiers.org/ensembl/ENSG00000125084	http://identifiers.org/ensembl/ENSG00000136944	LMX1B	http://identifiers.org/ensembl/ENSG00000163064	EN1	http://identifiers.org/ensembl/ENSG00000171791	BCL2
http://identifiers.org/ensembl/ENSG00000125084	http://identifiers.org/ensembl/ENSG00000136944	LMX1B	http://identifiers.org/ensembl/ENSG00000163064	EN1	http://identifiers.org/ensembl/ENSG00000171791	BCL2
http://identifiers.org/ensembl/ENSG00000125084	http://identifiers.org/ensembl/ENSG00000136944	LMX1B	http://identifiers.org/ensembl/ENSG00000163064	EN1	http://identifiers.org/ensembl/ENSG00000171791	BCL2
http://identifiers.org/ensembl/ENSG00000125084	http://identifiers.org/ensembl/ENSG00000136944	LMX1B	http://identifiers.org/ensembl/ENSG00000163064	EN1	http://identifiers.org/ensembl/ENSG00000171791	BCL2
http://identifiers.org/ensembl/ENSG00000125084	http://identifiers.org/ensembl/ENSG00000136944	LMX1B	http://identifiers.org/ensembl/ENSG00000163064	EN1	http://identifiers.org/ensembl/ENSG00000171791	BCL2
http://identifiers.org/ensembl/ENSG00000125084	http://identifiers.org/ensembl/ENSG00000136944	LMX1B	http://identifiers.org/ensembl/ENSG00000163064	EN1	http://identifiers.org/ensembl/ENSG00000171791	BCL2
http://identifiers.org/ensembl/ENSG00000125084	http://identifiers.org/ensembl/ENSG00000136944	LMX1B	http://identifiers.org/ensembl/ENSG00000163064	EN1	http://identifiers.org/uniprot/O14757	CHK1
http://identifiers.org/ensembl/ENSG00000125084	http://identifiers.org/ensembl/ENSG00000136944	LMX1B	http://identifiers.org/ensembl/ENSG00000163064	EN1	http://identifiers.org/uniprot/O14757	CHEK1
http://identifiers.org/ensembl/ENSG00000125084	http://identifiers.org/ensembl/ENSG00000136944	LMX1B	http://identifiers.org/ensembl/ENSG00000163064	EN1	http://identifiers.org/uniprot/O14757	CHK1
http://identifiers.org/ensembl/ENSG00000125084	http://identifiers.org/ensembl/ENSG00000136944	LMX1B	http://identifiers.org/ensembl/ENSG00000163064	EN1	http://identifiers.org/uniprot/O14757	CHEK1
http://identifiers.org/ensembl/ENSG00000125084	http://identifiers.org/ensembl/ENSG00000136944	LMX1B	http://identifiers.org/ensembl/ENSG00000163064	EN1	http://identifiers.org/uniprot/O14757	CHK1
http://identifiers.org/ensembl/ENSG00000125084	http://identifiers.org/ensembl/ENSG00000136944	LMX1B	http://identifiers.org/ensembl/ENSG00000163064	EN1	http://identifiers.org/uniprot/O14757	CHEK1
http://identifiers.org/ensembl/ENSG00000125084	http://identifiers.org/ensembl/ENSG00000136944	LMX1B	http://identifiers.org/ensembl/ENSG00000163064	EN1	http://identifiers.org/uniprot/O14757	CHK1
http://identifiers.org/ensembl/ENSG00000125084	http://identifiers.org/ensembl/ENSG00000136944	LMX1B	http://identifiers.org/ensembl/ENSG00000163064	EN1	http://identifiers.org/uniprot/O14757	CHEK1
http://identifiers.org/ensembl/ENSG00000125084	http://identifiers.org/ensembl/ENSG00000136944	LMX1B	http://identifiers.org/ensembl/ENSG00000163064	EN1	http://identifiers.org/uniprot/O14757	CHK1
http://identifiers.org/ensembl/ENSG00000125084	http://identifiers.org/ensembl/ENSG00000136944	LMX1B	http://identifiers.org/ensembl/ENSG00000163064	EN1	http://identifiers.org/uniprot/O14757	CHEK1
http://identifiers.org/ensembl/ENSG00000125084	http://identifiers.org/ensembl/ENSG00000136944	LMX1B	http://identifiers.org/ensembl/ENSG00000163064	EN1	http://identifiers.org/uniprot/O14757	CHK1
http://identifiers.org/ensembl/ENSG00000125084	http://identifiers.org/ensembl/ENSG00000136944	LMX1B	http://identifiers.org/ensembl/ENSG00000163064	EN1	http://identifiers.org/uniprot/O14757	CHEK1
http://identifiers.org/ensembl/ENSG00000125084	http://identifiers.org/ensembl/ENSG00000136944	LMX1B	http://identifiers.org/ensembl/ENSG00000163064	EN1	http://identifiers.org/uniprot/O14757	CHK1
http://identifiers.org/ensembl/ENSG00000125084	http://identifiers.org/ensembl/ENSG00000136944	LMX1B	http://identifiers.org/ensembl/ENSG00000163064	EN1	http://identifiers.org/uniprot/O14757	CHEK1
http://identifiers.org/ensembl/ENSG00000125084	http://identifiers.org/ensembl/ENSG00000136944	LMX1B	http://identifiers.org/ensembl/ENSG00000163064	EN1	http://identifiers.org/uniprot/O14757	CHK1
http://identifiers.org/ensembl/ENSG00000125084	http://identifiers.org/ensembl/ENSG00000136944	LMX1B	http://identifiers.org/ensembl/ENSG00000163064	EN1	http://identifiers.org/uniprot/O14757	CHEK1
http://identifiers.org/ensembl/ENSG00000125084	http://identifiers.org/ensembl/ENSG00000136944	LMX1B	http://identifiers.org/ensembl/ENSG00000163064	EN1	http://identifiers.org/uniprot/O14757	CHK1
http://identifiers.org/ensembl/ENSG00000125084	http://identifiers.org/ensembl/ENSG00000136944	LMX1B	http://identifiers.org/ensembl/ENSG00000163064	EN1	http://identifiers.org/uniprot/O14757	CHEK1
http://identifiers.org/ensembl/ENSG00000125084	http://identifiers.org/ensembl/ENSG00000136944	LMX1B	http://identifiers.org/ensembl/ENSG00000163064	EN1	http://identifiers.org/uniprot/O14757	CHK1
http://identifiers.org/ensembl/ENSG00000125084	http://identifiers.org/ensembl/ENSG00000136944	LMX1B	http://identifiers.org/ensembl/ENSG00000163064	EN1	http://identifiers.org/uniprot/O14757	CHEK1
http://identifiers.org/ensembl/ENSG00000125084	http://identifiers.org/ensembl/ENSG00000136944	LMX1B	http://identifiers.org/ensembl/ENSG00000163064	EN1	http://identifiers.org/uniprot/O14757	CHK1
http://identifiers.org/ensembl/ENSG00000125084	http://identifiers.org/ensembl/ENSG00000136944	LMX1B	http://identifiers.org/ensembl/ENSG00000163064	EN1	http://identifiers.org/uniprot/O14757	CHEK1
http://identifiers.org/ensembl/ENSG00000125084	http://identifiers.org/ensembl/ENSG00000136944	LMX1B	http://identifiers.org/ensembl/ENSG00000163064	EN1	http://identifiers.org/uniprot/O14757	CHK1
http://identifiers.org/ensembl/ENSG00000125084	http://identifiers.org/ensembl/ENSG00000136944	LMX1B	http://identifiers.org/ensembl/ENSG00000163064	EN1	http://identifiers.org/uniprot/O14757	CHEK1
http://identifiers.org/ensembl/ENSG00000125084	http://identifiers.org/ensembl/ENSG00000136944	LMX1B	http://identifiers.org/ensembl/ENSG00000163064	EN1	http://identifiers.org/ensembl/ENSG00000171791	BCL2
http://identifiers.org/ensembl/ENSG00000125084	http://identifiers.org/ensembl/ENSG00000136944	LMX1B	http://identifiers.org/ensembl/ENSG00000163064	EN1	http://identifiers.org/ensembl/ENSG00000171791	BCL2
http://identifiers.org/ensembl/ENSG00000125084	http://identifiers.org/ensembl/ENSG00000136944	LMX1B	http://identifiers.org/ensembl/ENSG00000163064	EN1	http://identifiers.org/ensembl/ENSG00000171791	BCL2
